SalePrice,Gr Liv Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Garage Cars,Garage Area,Lot Area,Lot Frontage,Neighborhood,MS Zoning,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Garage Type,Kitchen Qual,Bsmt Qual,Central Air,House Style
192000,1269,8,5,2004,2005,2.0,430.0,3182,43.0,Blmngtn,RL,2,0,6,1,Attchd,Gd,Gd,Y,1Story
184500,1374,7,5,2004,2004,2.0,400.0,13300,67.0,Gilbert,RL,2,1,7,1,BuiltIn,Gd,Gd,Y,SLvl
216500,1960,6,5,2002,2002,2.0,440.0,7851,,Gilbert,RL,2,1,8,2,BuiltIn,Gd,Gd,Y,2Story
185088,1733,7,5,2004,2004,2.0,433.0,8577,63.0,Gilbert,RL,2,1,7,1,BuiltIn,Gd,Gd,Y,2Story
180000,1430,7,5,2000,2000,2.0,400.0,7750,,Gilbert,RL,2,1,7,1,BuiltIn,TA,Gd,Y,SLvl
222500,2035,7,5,2001,2001,2.0,434.0,9505,,Gilbert,RL,2,1,8,1,BuiltIn,Gd,Gd,Y,2Story
333168,2599,9,5,1999,1999,3.0,779.0,14774,108.0,NoRidge,RL,2,1,10,1,BuiltIn,Gd,Gd,Y,2Story
355000,2475,8,5,1998,1998,3.0,962.0,17433,60.0,NoRidge,RL,2,1,7,1,Attchd,Gd,Ex,Y,2Story
260400,1720,7,5,1996,1996,2.0,527.0,10593,59.0,NoRidge,RL,2,0,7,1,Attchd,Gd,Gd,Y,1Story
325000,2622,8,5,1994,1995,2.0,712.0,12256,98.0,NoRidge,RL,2,1,9,2,Attchd,Gd,Ex,Y,2Story
290000,2270,8,7,1999,2007,3.0,671.0,11764,92.0,NoRidge,RL,2,1,9,1,Attchd,Gd,Gd,Y,2Story
221000,1839,7,5,1998,1998,2.0,486.0,16770,58.0,NoRidge,RL,2,1,7,0,Attchd,TA,Gd,Y,2Story
410000,3238,8,5,1995,1996,3.0,666.0,14720,56.0,NoRidge,RL,2,1,9,1,Attchd,Gd,Gd,Y,1.5Fin
221500,1595,8,5,2005,2006,3.0,880.0,8987,73.0,Somerst,RL,2,0,6,1,Attchd,Gd,Gd,Y,1Story
204500,1218,7,5,2009,2010,2.0,676.0,9215,92.0,Somerst,FV,2,0,4,0,Attchd,Gd,Gd,Y,1Story
215200,1547,7,5,2009,2009,2.0,614.0,8640,72.0,Somerst,FV,2,1,7,0,Attchd,Gd,Gd,Y,2Story
262500,1566,8,5,2008,2008,2.0,750.0,9000,75.0,Somerst,FV,2,0,7,0,Attchd,Gd,Gd,Y,1Story
254900,1947,7,5,2004,2005,2.0,678.0,12552,100.0,Somerst,FV,2,1,8,1,Attchd,Gd,Gd,Y,2Story
271500,1468,6,5,2005,2005,2.0,528.0,10440,84.0,Somerst,FV,2,0,6,1,Attchd,Gd,Ex,Y,1Story
233000,2084,7,5,2004,2004,2.0,618.0,10142,76.0,SawyerW,RL,2,1,8,0,BuiltIn,Gd,Gd,Y,2Story
181000,1659,7,5,2004,2004,2.0,484.0,11920,70.0,SawyerW,RL,2,1,8,0,Attchd,Gd,Gd,Y,2Story
205000,2110,7,5,1994,2002,2.0,463.0,8880,,SawyerW,RL,2,1,8,2,Attchd,Gd,Gd,Y,2Story
143000,923,6,5,1980,1980,1.0,264.0,8012,50.0,SawyerW,RL,2,0,5,1,Attchd,TA,Gd,Y,1Story
189000,1845,6,5,1992,1992,2.0,462.0,11218,70.0,SawyerW,RL,2,1,8,1,Attchd,Gd,Gd,Y,2Story
99500,918,6,5,1979,1979,1.0,264.0,7892,55.0,SawyerW,RL,2,0,5,1,Attchd,TA,Gd,Y,1Story
125000,752,6,5,1984,1984,1.0,264.0,7175,50.0,SawyerW,RL,1,0,4,0,Attchd,TA,Gd,Y,1Story
194500,1744,7,7,1993,2003,2.0,457.0,9453,,SawyerW,RL,2,1,7,0,Attchd,Gd,Gd,Y,2Story
152000,1097,6,5,1984,1985,2.0,480.0,9672,81.0,SawyerW,RL,2,0,6,0,Attchd,TA,Gd,Y,1Story
171000,1564,6,6,1980,1981,2.0,476.0,8400,70.0,SawyerW,RL,2,1,7,1,Attchd,TA,Gd,Y,2Story
67500,1012,5,5,1920,1950,1.0,429.0,9800,70.0,SawyerW,RH,1,0,5,0,Detchd,TA,TA,N,1Story
112000,1902,6,5,1978,1978,2.0,539.0,8930,68.0,Sawyer,RM,2,0,8,0,Attchd,TA,,Y,1.5Fin
148000,1155,5,7,1961,1995,2.0,576.0,11782,88.0,Sawyer,RL,1,0,6,0,Detchd,Gd,TA,Y,SFoyer
138500,894,5,8,1965,2009,1.0,336.0,8450,65.0,Sawyer,RL,1,0,5,1,Detchd,TA,TA,Y,1Story
122000,900,5,5,1967,1967,1.0,280.0,9819,,Sawyer,RL,1,0,5,0,Detchd,TA,TA,Y,1Story
133000,1040,5,5,1963,1963,1.0,308.0,7500,75.0,Sawyer,RL,1,1,5,0,Attchd,TA,TA,Y,1Story
127000,1040,5,8,1962,2010,1.0,260.0,6897,,Sawyer,RL,1,1,6,0,Detchd,TA,TA,Y,1Story
169000,1494,6,6,1974,2002,2.0,461.0,15410,39.0,Sawyer,RL,2,0,7,2,Attchd,TA,TA,Y,1Story
190000,1923,7,5,1992,1992,2.0,564.0,10186,107.0,NoRidge,RL,2,1,8,1,Attchd,Gd,Gd,Y,2Story
362500,2349,8,5,1993,1993,3.0,762.0,13143,85.0,NoRidge,RL,2,1,9,1,Attchd,Gd,Gd,Y,2Story
285000,2225,8,5,1992,1993,3.0,713.0,11134,88.0,NoRidge,RL,2,1,7,1,Attchd,Gd,Gd,Y,2Story
260000,1488,7,5,2004,2005,2.0,506.0,4835,25.0,Somerst,FV,2,0,6,1,Attchd,Gd,Ex,Y,1Story
190000,1680,7,5,2004,2004,2.0,588.0,3515,39.0,Somerst,FV,2,1,3,0,Attchd,Gd,Gd,Y,2Story
155000,1200,7,5,2004,2004,2.0,480.0,3215,30.0,Somerst,FV,2,1,4,0,Detchd,Gd,Gd,Y,2Story
151000,1200,7,5,2004,2005,2.0,480.0,3182,30.0,Somerst,FV,2,1,4,0,Detchd,Gd,Gd,Y,2Story
149500,1200,7,5,2004,2005,2.0,480.0,2544,24.0,Somerst,FV,2,1,4,0,Detchd,Gd,Gd,Y,2Story
152000,1236,6,5,2005,2005,2.0,480.0,2544,24.0,Somerst,FV,2,1,4,0,Detchd,Gd,Gd,Y,2Story
222000,1478,7,5,2009,2009,2.0,484.0,4403,,Somerst,FV,2,1,7,1,Attchd,Gd,Ex,Y,1Story
177500,1573,6,5,2000,2000,2.0,440.0,2117,,Somerst,FV,2,1,5,0,Detchd,Gd,Gd,Y,2Story
177000,1512,6,5,2000,2000,2.0,440.0,2980,,Somerst,FV,2,1,5,0,Detchd,Gd,Gd,Y,2Story
155000,1416,7,5,1999,1999,2.0,484.0,2572,24.0,Somerst,FV,2,1,6,0,Detchd,Gd,Gd,Y,2Story
147110,1080,7,5,2003,2003,2.0,496.0,2403,,Somerst,FV,2,1,4,0,Attchd,Gd,Gd,Y,2Story
267916,1418,8,5,2010,2010,3.0,852.0,12853,57.0,Somerst,FV,1,1,6,1,Attchd,Gd,Ex,Y,1Story
254000,1848,8,5,2000,2000,2.0,592.0,7379,68.0,Somerst,FV,2,1,7,1,Attchd,Gd,Gd,Y,2Story
155000,788,8,5,1980,1980,2.0,484.0,4420,30.0,Greens,RL,1,0,3,1,Detchd,Gd,Gd,Y,1Story
206000,1226,8,6,1978,1978,2.0,484.0,3880,40.0,Greens,RL,1,0,4,1,Attchd,Gd,Gd,Y,1Story
130500,1479,6,8,1976,2005,2.0,475.0,13517,,Sawyer,RL,2,1,6,0,Attchd,Gd,TA,Y,2Story
230000,1492,7,5,2002,2002,2.0,596.0,8000,80.0,Somerst,FV,2,0,6,1,Attchd,Gd,Gd,Y,1Story
218500,1829,6,6,1967,1967,2.0,535.0,10456,,NWAmes,RL,2,0,8,0,Attchd,TA,TA,Y,1Story
243500,2495,6,5,1993,1993,2.0,660.0,10791,80.0,NWAmes,RL,2,1,9,1,Attchd,Gd,Gd,Y,2Story
205000,1610,6,7,1977,2001,2.0,480.0,10603,,NWAmes,RL,2,0,6,2,Attchd,Gd,TA,Y,1Story
212500,1891,6,5,1978,1978,2.0,678.0,18837,,NWAmes,RL,3,0,7,1,Attchd,TA,Gd,Y,1.5Fin
196500,1714,7,5,1988,1988,2.0,496.0,10421,80.0,NWAmes,RL,2,1,7,1,Attchd,TA,Gd,Y,2Story
197500,1381,6,7,1972,2006,2.0,676.0,9360,78.0,NWAmes,RL,1,1,5,1,Attchd,Gd,TA,Y,1Story
171000,1645,6,6,1971,1971,2.0,441.0,9600,80.0,NWAmes,RL,1,2,7,0,Attchd,TA,TA,Y,2Story
142250,1232,5,5,1966,1966,2.0,490.0,9600,80.0,NAmes,RL,1,1,6,0,Attchd,TA,TA,Y,1Story
143000,1328,6,5,1963,1963,2.0,528.0,9790,,NWAmes,RL,1,1,6,2,Attchd,TA,TA,Y,1Story
128950,1225,4,5,1959,1959,0.0,0.0,9320,77.0,NAmes,RL,1,1,6,0,,TA,TA,Y,1Story
159000,1209,5,5,1966,1966,2.0,504.0,9900,90.0,NAmes,RL,1,0,6,0,Attchd,TA,Gd,Y,1Story
178900,1510,5,6,1967,1967,2.0,517.0,9680,88.0,NAmes,RL,2,0,6,0,Attchd,Gd,TA,Y,1Story
136300,1775,6,5,1964,1964,2.0,480.0,10600,,NAmes,RL,2,0,8,0,Attchd,TA,TA,Y,SLvl
180500,1152,5,7,1964,1964,2.0,484.0,14112,,NAmes,RL,1,0,6,1,Attchd,TA,TA,Y,SLvl
137500,1054,6,7,1963,1963,2.0,480.0,8800,80.0,NAmes,RL,1,0,6,0,Attchd,Gd,TA,Y,SFoyer
84900,1728,5,6,1962,2001,0.0,0.0,13260,98.0,NAmes,RL,2,0,10,0,,TA,TA,Y,1Story
142125,1078,5,6,1950,1996,1.0,240.0,9717,68.0,NAmes,RL,1,0,5,0,Attchd,Gd,TA,Y,1Story
197600,2461,5,7,1952,2002,2.0,400.0,9724,68.0,NAmes,RL,2,0,7,2,Detchd,TA,TA,Y,1.5Fin
172500,1556,6,6,1949,1950,2.0,470.0,17360,120.0,NAmes,RL,2,0,6,1,Attchd,TA,TA,Y,1.5Fin
116500,858,5,7,1958,2008,0.0,0.0,7207,50.0,BrkSide,RL,1,0,4,0,,TA,TA,Y,1Story
76500,1306,3,2,1940,1966,0.0,0.0,5350,55.0,BrkSide,RL,1,0,6,0,,Fa,TA,Y,1Story
128000,1063,5,5,1954,1954,1.0,280.0,9920,80.0,NAmes,RL,1,0,6,0,Attchd,TA,TA,Y,1Story
153000,1520,6,6,1955,1972,1.0,364.0,9600,80.0,NAmes,RL,1,0,7,2,Basment,TA,TA,Y,SLvl
132000,1268,5,6,1954,1954,1.0,244.0,7800,78.0,NAmes,RL,1,0,7,1,Attchd,TA,TA,Y,1Story
178000,1128,6,8,1966,2008,1.0,315.0,11380,75.0,NAmes,RL,1,0,5,1,Attchd,Gd,TA,Y,SFoyer
154300,2274,5,5,1960,1960,2.0,480.0,11600,80.0,NAmes,RL,2,0,12,0,Detchd,TA,TA,Y,2Story
180000,2207,7,5,1970,1989,2.0,576.0,19900,,NAmes,RL,2,0,7,1,Attchd,TA,Gd,Y,1Story
190000,1888,6,6,1966,2002,2.0,578.0,16492,137.0,NAmes,RL,2,1,6,1,Attchd,Gd,TA,Y,1Story
135000,1604,5,5,1958,1958,2.0,576.0,8267,70.0,NAmes,RL,2,0,8,0,Attchd,TA,TA,Y,1Story
214000,1480,7,5,2003,2009,2.0,620.0,8197,70.0,NAmes,RL,2,0,7,0,Attchd,Gd,Gd,Y,1Story
136000,1143,5,5,1959,1959,1.0,308.0,8050,,NAmes,RL,1,0,6,0,Attchd,TA,TA,Y,1Story
165500,1700,5,5,1959,1959,2.0,447.0,10552,70.0,NAmes,RL,1,1,6,1,Attchd,Gd,TA,Y,1Story
145000,1314,5,6,1957,1957,1.0,294.0,8400,70.0,NAmes,RL,1,0,5,0,Attchd,TA,TA,Y,1Story
148000,1194,6,6,1959,1959,1.0,312.0,8760,73.0,NAmes,RL,1,0,6,0,Attchd,TA,TA,Y,1Story
142000,1188,5,5,1959,1959,2.0,531.0,12160,,NAmes,RL,1,0,6,0,Attchd,TA,TA,Y,1Story
167500,1264,5,5,1960,1960,2.0,461.0,9300,73.0,NAmes,RL,1,0,6,2,Attchd,TA,TA,Y,1Story
108538,1206,5,5,1959,1959,1.0,312.0,10725,87.0,NAmes,RL,1,0,6,0,Attchd,TA,TA,Y,1Story
159500,1580,6,5,1959,1959,2.0,440.0,10032,80.0,NAmes,RL,1,1,6,2,Attchd,TA,TA,Y,1Story
108000,1337,4,5,1956,1956,1.0,263.0,8382,60.0,NAmes,RL,1,0,5,0,Attchd,TA,TA,Y,1.5Fin
135000,1064,5,7,1952,1952,1.0,318.0,10950,60.0,NAmes,RL,1,0,4,0,Detchd,Fa,TA,Y,1Story
122500,972,5,6,1955,1955,1.0,305.0,10895,119.0,NAmes,RL,1,0,5,0,Attchd,TA,TA,Y,1Story
119000,988,5,5,1958,1958,1.0,264.0,13587,70.0,NAmes,RL,1,0,5,0,Attchd,TA,TA,Y,1Story
109000,1057,5,7,1953,2007,1.0,246.0,7922,68.0,NAmes,RL,1,0,5,0,Detchd,Gd,TA,Y,1Story
105000,985,4,7,1920,1994,2.0,676.0,7898,65.0,NAmes,RL,1,0,4,0,Detchd,TA,TA,Y,1Story
107500,827,5,7,1955,2007,1.0,392.0,7200,60.0,NAmes,RL,1,0,5,1,Detchd,TA,,Y,1Story
144900,1086,5,7,1954,2003,2.0,490.0,10200,85.0,NAmes,RL,1,0,6,0,Attchd,TA,TA,Y,1Story
129000,936,5,7,1956,2000,1.0,308.0,5868,74.0,NAmes,RL,1,0,4,0,Attchd,TA,TA,Y,1Story
97500,1458,6,5,1948,1950,1.0,330.0,17503,78.0,NAmes,RL,1,0,6,1,Attchd,TA,TA,Y,1.5Fin
144000,1056,6,5,1980,1980,2.0,576.0,6979,64.0,OldTown,RL,0,0,4,0,Detchd,TA,TA,Y,SFoyer
162000,1287,5,7,1959,2006,2.0,576.0,9830,,NAmes,RL,1,0,7,1,Detchd,Gd,TA,Y,1Story
242000,2978,7,7,1967,2007,2.0,564.0,11275,96.0,NAmes,RL,2,1,11,1,BuiltIn,Gd,Gd,Y,SLvl
132000,1224,6,8,1948,2004,1.0,280.0,8064,60.0,NAmes,RL,1,0,5,0,Detchd,TA,TA,Y,1.5Fin
154000,1246,5,7,1959,1994,1.0,305.0,7500,75.0,NAmes,RL,1,1,6,0,Attchd,Gd,TA,Y,1Story
166000,1385,5,4,1952,1952,2.0,720.0,8520,71.0,NAmes,RL,2,0,6,0,Detchd,TA,TA,Y,1.5Fin
134800,900,5,7,1951,2000,2.0,576.0,7200,60.0,NAmes,RL,1,0,5,0,Detchd,Gd,TA,Y,1Story
160000,1116,6,6,1962,1962,2.0,440.0,10000,87.0,NAmes,RL,1,1,5,0,Attchd,TA,TA,Y,1Story
148000,1175,5,6,1960,1960,2.0,484.0,7635,81.0,NAmes,RL,1,1,6,0,Detchd,TA,TA,Y,1Story
192000,1395,6,7,1963,1984,2.0,440.0,9760,80.0,NAmes,RL,1,0,7,1,Attchd,TA,TA,Y,1Story
155000,1839,6,5,1966,1966,2.0,442.0,7700,70.0,NAmes,RL,1,1,7,1,Attchd,TA,TA,Y,2Story
80400,1844,4,5,1900,1954,1.0,240.0,4800,60.0,OldTown,RM,1,0,9,2,Basment,TA,TA,Y,1.5Fin
96500,1140,4,7,1910,2004,0.0,0.0,8800,55.0,OldTown,RM,1,0,7,0,,TA,TA,Y,1.5Fin
109500,936,5,7,1920,1950,0.0,0.0,4485,56.0,OldTown,RM,1,0,5,1,,TA,TA,Y,1Story
115000,1028,5,6,1927,1950,2.0,360.0,8960,56.0,OldTown,RM,1,0,5,1,Detchd,TA,TA,Y,1Story
143000,1347,5,7,1957,1957,2.0,551.0,5805,69.0,OldTown,RM,1,0,6,0,Detchd,Gd,TA,Y,1Story
107400,1605,3,6,1915,1950,1.0,379.0,5790,60.0,OldTown,RM,2,0,8,0,Detchd,TA,Fa,N,2Story
80000,747,4,6,1945,1950,1.0,220.0,4608,47.0,OldTown,RM,1,0,4,0,Attchd,TA,TA,Y,1Story
119000,804,5,7,1940,1992,1.0,240.0,7200,60.0,OldTown,RM,1,0,4,2,Attchd,Gd,TA,Y,1Story
130000,1316,5,7,1929,2001,2.0,484.0,5500,50.0,OldTown,RM,1,0,6,0,Detchd,TA,TA,Y,1.5Fin
119000,1251,6,7,1938,2000,1.0,240.0,6900,50.0,OldTown,RM,1,0,6,0,Detchd,Fa,Gd,Y,1.5Fin
129000,1633,5,7,1948,2009,1.0,240.0,11851,69.0,OldTown,RM,1,0,7,1,Detchd,Gd,TA,Y,1.5Fin
100000,1245,5,6,1920,1962,1.0,315.0,8239,,OldTown,RM,1,0,6,0,Detchd,TA,TA,Y,1.5Fin
12789,832,2,2,1923,1970,2.0,780.0,9656,68.0,OldTown,RM,1,0,5,1,Detchd,TA,Fa,N,1Story
105900,720,6,8,1928,2003,2.0,484.0,8520,60.0,OldTown,RM,1,0,5,0,Detchd,TA,TA,Y,1Story
150000,1566,8,9,1900,2003,1.0,288.0,9600,60.0,OldTown,RM,2,0,7,0,Detchd,Gd,TA,N,2Story
139000,1652,5,6,1915,1950,1.0,416.0,10800,60.0,OldTown,RM,2,0,7,0,Detchd,TA,Fa,Y,1.5Fin
240000,2268,8,9,1890,2002,2.0,624.0,9000,50.0,OldTown,RM,3,0,7,0,Detchd,Gd,Fa,Y,2Story
76500,2256,5,3,1910,1950,0.0,0.0,9045,100.0,OldTown,RM,2,0,12,0,,Fa,TA,N,2Story
149700,1236,6,7,1957,1996,2.0,923.0,7407,90.0,OldTown,RM,1,0,6,0,Attchd,TA,TA,Y,1Story
125500,1363,4,7,1910,1950,2.0,528.0,7740,60.0,OldTown,RM,1,0,6,0,Detchd,TA,Fa,Y,2Story
122500,2290,4,6,1885,1950,2.0,560.0,11340,60.0,OldTown,RM,2,0,11,0,Detchd,TA,TA,Y,2Story
140750,1470,6,7,1922,1994,2.0,624.0,10560,60.0,OldTown,RM,1,1,6,0,Detchd,TA,Fa,Y,2Story
128500,1612,5,6,1950,1997,1.0,363.0,5830,53.0,BrkSide,RM,1,1,7,0,Detchd,TA,TA,Y,1.5Fin
209500,2068,7,7,1922,2005,1.0,315.0,7793,,BrkSide,RL,1,1,8,1,Detchd,Gd,Gd,N,2.5Unf
87000,765,4,7,1925,1950,1.0,200.0,5000,50.0,BrkSide,RM,1,0,4,0,Detchd,Gd,TA,N,1Story
134000,1132,6,7,1939,1950,1.0,240.0,6000,50.0,BrkSide,RM,1,0,5,0,Detchd,TA,TA,Y,1.5Fin
128000,1196,6,6,1940,1950,2.0,576.0,6000,50.0,BrkSide,RM,1,1,6,2,Detchd,TA,TA,Y,1.5Fin
132000,1453,5,6,1942,1950,1.0,240.0,6360,53.0,BrkSide,RM,1,1,7,2,Detchd,Gd,TA,Y,1.5Fin
139900,1416,6,7,1948,1950,1.0,312.0,6000,50.0,BrkSide,RM,1,1,6,0,Detchd,TA,TA,Y,1.5Fin
123900,1040,5,7,1936,1980,2.0,624.0,6240,52.0,BrkSide,RM,1,0,5,0,Detchd,TA,TA,Y,1.5Fin
138400,1536,5,5,1930,1950,2.0,480.0,6240,52.0,BrkSide,RM,2,0,7,1,Detchd,TA,TA,Y,1.5Fin
109500,1068,6,5,1923,1950,1.0,288.0,6120,51.0,OldTown,RM,1,0,5,1,Detchd,TA,Fa,Y,1Story
140000,1710,7,6,1921,1950,2.0,480.0,10300,50.0,OldTown,RM,2,0,9,0,Detchd,TA,TA,Y,2Story
149500,1962,4,5,1915,1950,2.0,572.0,8094,57.0,OldTown,RM,1,1,9,1,Detchd,TA,TA,Y,1.5Fin
159900,1560,6,8,1912,2009,0.0,0.0,12900,60.0,OldTown,RM,1,1,7,0,,Gd,TA,Y,2Story
122000,1324,6,8,1920,1993,1.0,180.0,3068,52.0,OldTown,RM,1,0,6,0,Detchd,TA,TA,Y,2Story
110000,816,5,5,1963,1963,2.0,516.0,8472,110.0,IDOTRR,RM,1,0,5,0,CarPort,TA,Gd,N,1Story
55000,1092,4,5,1930,1950,0.0,0.0,5600,70.0,IDOTRR,RM,2,0,7,0,,Fa,,N,2Story
