SalePrice,Gr Liv Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Garage Cars,Garage Area,Lot Area,Lot Frontage,Full Bath,Half Bath,TotRms AbvGrd,Fireplaces,Kitchen Qual,Bsmt Qual,Central Air,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,MS Zoning_FV,MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl
171500,1341,7,5,1990,1990,2.0,506.0,10176,85.0,1,1,5,1,3.0,3.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
538000,3279,8,5,2003,2003,3.0,841.0,53504,47.0,3,1,12,1,4.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
164000,1752,8,7,1988,2005,2.0,492.0,12134,152.0,2,0,8,0,2.0,3.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
394432,1856,9,2,2010,2010,3.0,834.0,11394,88.0,1,1,8,1,4.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
141000,864,4,5,1951,1951,2.0,400.0,19138,140.0,1,0,4,0,2.0,2.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
210000,2073,6,6,1978,1988,2.0,500.0,13175,85.0,2,0,7,2,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
190000,1844,6,6,1977,1977,2.0,546.0,11751,105.0,2,0,7,1,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
170000,1173,7,6,1974,1974,2.0,528.0,10625,85.0,2,0,6,2,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
142000,1056,5,6,1968,1968,1.0,304.0,8450,65.0,1,0,6,1,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
126000,882,4,5,1970,1970,2.0,525.0,8400,70.0,1,0,4,0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
184000,1337,7,5,1999,1999,2.0,511.0,5858,26.0,2,0,5,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
96000,987,6,5,1971,1971,1.0,264.0,1680,21.0,1,1,5,0,2.0,2.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
105500,1092,5,5,1971,1971,1.0,320.0,1680,21.0,1,1,6,0,2.0,2.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
88000,1092,6,5,1971,1971,1.0,264.0,1680,21.0,1,1,6,0,2.0,2.0,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
127500,1069,6,5,1977,1977,2.0,440.0,4043,53.0,2,0,4,1,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
149900,1456,6,6,1975,1975,2.0,440.0,2280,24.0,2,1,6,1,3.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
120000,836,7,6,1975,1975,1.0,308.0,2280,24.0,1,0,4,0,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
146000,1456,6,5,1978,1978,2.0,440.0,2280,24.0,2,1,7,1,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
376162,2334,9,5,2009,2010,3.0,751.0,12858,102.0,2,1,10,1,4.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
306000,1704,8,5,2007,2008,3.0,772.0,11478,98.0,2,0,7,1,3.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
395192,1940,9,5,2009,2010,3.0,606.0,10159,83.0,2,1,8,1,4.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
290941,1544,8,5,2009,2010,3.0,868.0,12883,94.0,2,0,7,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
220000,1541,7,5,2005,2005,2.0,532.0,12182,95.0,2,0,7,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
275000,1698,9,5,2005,2005,3.0,730.0,11520,90.0,2,0,7,1,4.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
259000,1822,8,5,2005,2006,3.0,678.0,14122,79.0,2,0,8,1,4.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
214000,1535,7,5,2004,2004,2.0,532.0,10171,70.0,2,0,7,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
611657,2364,9,5,2009,2010,3.0,820.0,12919,100.0,2,1,11,2,4.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
224000,1358,7,5,2009,2010,2.0,484.0,6371,44.0,2,0,6,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
500000,2696,9,5,2003,2004,3.0,958.0,14300,110.0,2,1,10,2,4.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
320000,2250,8,5,2002,2002,3.0,756.0,13650,105.0,2,1,7,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
319900,1752,9,5,2005,2005,2.0,576.0,7658,61.0,2,0,6,1,4.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
205000,1370,8,5,2006,2006,2.0,484.0,7132,41.0,2,0,6,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
175500,1626,7,5,2003,2003,2.0,474.0,2628,36.0,2,1,6,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
199500,1324,6,5,2005,2005,2.0,430.0,18494,100.0,2,0,6,0,3.0,3.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
160000,1145,7,5,2006,2006,2.0,437.0,3203,43.0,2,0,6,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
192000,1269,8,5,2004,2005,2.0,430.0,3182,43.0,2,0,6,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
184500,1374,7,5,2004,2004,2.0,400.0,13300,67.0,2,1,7,1,3.0,3.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
185088,1733,7,5,2004,2004,2.0,433.0,8577,63.0,2,1,7,1,3.0,3.0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
333168,2599,9,5,1999,1999,3.0,779.0,14774,108.0,2,1,10,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
355000,2475,8,5,1998,1998,3.0,962.0,17433,60.0,2,1,7,1,3.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
260400,1720,7,5,1996,1996,2.0,527.0,10593,59.0,2,0,7,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
325000,2622,8,5,1994,1995,2.0,712.0,12256,98.0,2,1,9,2,3.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
290000,2270,8,7,1999,2007,3.0,671.0,11764,92.0,2,1,9,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
221000,1839,7,5,1998,1998,2.0,486.0,16770,58.0,2,1,7,0,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
410000,3238,8,5,1995,1996,3.0,666.0,14720,56.0,2,1,9,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
221500,1595,8,5,2005,2006,3.0,880.0,8987,73.0,2,0,6,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
204500,1218,7,5,2009,2010,2.0,676.0,9215,92.0,2,0,4,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
215200,1547,7,5,2009,2009,2.0,614.0,8640,72.0,2,1,7,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
262500,1566,8,5,2008,2008,2.0,750.0,9000,75.0,2,0,7,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
254900,1947,7,5,2004,2005,2.0,678.0,12552,100.0,2,1,8,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
271500,1468,6,5,2005,2005,2.0,528.0,10440,84.0,2,0,6,1,3.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
233000,2084,7,5,2004,2004,2.0,618.0,10142,76.0,2,1,8,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
181000,1659,7,5,2004,2004,2.0,484.0,11920,70.0,2,1,8,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
143000,923,6,5,1980,1980,1.0,264.0,8012,50.0,2,0,5,1,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
189000,1845,6,5,1992,1992,2.0,462.0,11218,70.0,2,1,8,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
99500,918,6,5,1979,1979,1.0,264.0,7892,55.0,2,0,5,1,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
125000,752,6,5,1984,1984,1.0,264.0,7175,50.0,1,0,4,0,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
152000,1097,6,5,1984,1985,2.0,480.0,9672,81.0,2,0,6,0,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
171000,1564,6,6,1980,1981,2.0,476.0,8400,70.0,2,1,7,1,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
67500,1012,5,5,1920,1950,1.0,429.0,9800,70.0,1,0,5,0,2.0,2.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False
148000,1155,5,7,1961,1995,2.0,576.0,11782,88.0,1,0,6,0,3.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
138500,894,5,8,1965,2009,1.0,336.0,8450,65.0,1,0,5,1,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
133000,1040,5,5,1963,1963,1.0,308.0,7500,75.0,1,1,5,0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
169000,1494,6,6,1974,2002,2.0,461.0,15410,39.0,2,0,7,2,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
190000,1923,7,5,1992,1992,2.0,564.0,10186,107.0,2,1,8,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
362500,2349,8,5,1993,1993,3.0,762.0,13143,85.0,2,1,9,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
285000,2225,8,5,1992,1993,3.0,713.0,11134,88.0,2,1,7,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
260000,1488,7,5,2004,2005,2.0,506.0,4835,25.0,2,0,6,1,3.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
190000,1680,7,5,2004,2004,2.0,588.0,3515,39.0,2,1,3,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
155000,1200,7,5,2004,2004,2.0,480.0,3215,30.0,2,1,4,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
151000,1200,7,5,2004,2005,2.0,480.0,3182,30.0,2,1,4,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
149500,1200,7,5,2004,2005,2.0,480.0,2544,24.0,2,1,4,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
152000,1236,6,5,2005,2005,2.0,480.0,2544,24.0,2,1,4,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
155000,1416,7,5,1999,1999,2.0,484.0,2572,24.0,2,1,6,0,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
267916,1418,8,5,2010,2010,3.0,852.0,12853,57.0,1,1,6,1,3.0,4.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
254000,1848,8,5,2000,2000,2.0,592.0,7379,68.0,2,1,7,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
155000,788,8,5,1980,1980,2.0,484.0,4420,30.0,1,0,3,1,3.0,3.0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False
206000,1226,8,6,1978,1978,2.0,484.0,3880,40.0,1,0,4,1,3.0,3.0,1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
230000,1492,7,5,2002,2002,2.0,596.0,8000,80.0,2,0,6,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
243500,2495,6,5,1993,1993,2.0,660.0,10791,80.0,2,1,9,1,3.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
196500,1714,7,5,1988,1988,2.0,496.0,10421,80.0,2,1,7,1,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
197500,1381,6,7,1972,2006,2.0,676.0,9360,78.0,1,1,5,1,3.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
171000,1645,6,6,1971,1971,2.0,441.0,9600,80.0,1,2,7,0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
142250,1232,5,5,1966,1966,2.0,490.0,9600,80.0,1,1,6,0,2.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
159000,1209,5,5,1966,1966,2.0,504.0,9900,90.0,1,0,6,0,2.0,3.0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
